2021-02-05, 17.020000457763672
2021-02-08, 18.25
2021-02-09, 17.979999542236328
2021-02-10, 18.200000762939453
2021-02-11, 18.34000015258789
2021-02-12, 19.540000915527344
2021-02-16, 19.84000015258789
2021-02-17, 21.440000534057617
2021-02-18, 23.700000762939453
2021-02-19, 25.020000457763672
2021-02-22, 25.739999771118164
2021-02-23, 21.100000381469727
2021-02-24, 22.399999618530273
2021-02-25, 21.389999389648438
2021-02-26, 17.34000015258789
2021-03-01, 19.920000076293945
2021-03-02, 20.899999618530273
2021-03-03, 20.510000228881836
2021-03-04, 17.1200008392334
2021-03-05, 16.049999237060547
2021-03-08, 15.010000228881836
2021-03-09, 18.0
2021-03-10, 20.0
2021-03-11, 20.200000762939453
2021-03-12, 20.450000762939453
2021-03-15, 20.829999923706055
2021-03-16, 20.649999618530273
2021-03-17, 19.1299991607666
2021-03-18, 18.149999618530273
2021-03-19, 17.670000076293945
2021-03-22, 17.389999389648438
2021-03-23, 17.170000076293945
2021-03-24, 16.739999771118164
2021-03-25, 18.0
2021-03-26, 18.170000076293945
2021-03-29, 18.0
2021-03-30, 17.989999771118164
2021-03-31, 18.06999969482422
2021-04-01, 17.829999923706055
2021-04-05, 17.469999313354492
2021-04-06, 16.989999771118164
2021-04-07, 16.020000457763672
2021-04-08, 15.699999809265137
2021-04-09, 15.479999542236328
2021-04-12, 14.8100004196167
2021-04-13, 14.289999961853027
2021-04-14, 15.130000114440918
2021-04-15, 14.859999656677246
2021-04-16, 14.069999694824219
2021-04-19, 13.569999694824219
2021-04-20, 13.300000190734863
2021-04-21, 13.5600004196167
2021-04-22, 14.270000457763672
2021-04-23, 13.350000381469727
2021-04-26, 14.430000305175781
2021-04-27, 14.680000305175781
2021-04-28, 14.380000114440918
2021-04-29, 14.149999618530273
2021-04-30, 14.130000114440918
2021-05-03, 14.640000343322754
2021-05-04, 14.3100004196167
2021-05-05, 13.819999694824219
2021-05-06, 14.319999694824219
2021-05-07, 14.239999771118164
2021-05-10, 13.510000228881836
2021-05-11, 13.399999618530273
2021-05-12, 14.539999961853027
2021-05-13, 14.0
2021-05-14, 14.0600004196167
2021-05-17, 13.819999694824219
2021-05-18, 14.34000015258789
2021-05-19, 15.140000343322754
2021-05-20, 16.059999465942383
2021-05-21, 15.1899995803833
2021-05-24, 15.1899995803833
2021-05-25, 14.649999618530273
2021-05-26, 14.899999618530273
2021-05-27, 15.829999923706055
2021-05-28, 15.4399995803833
2021-06-01, 14.890000343322754
2021-06-02, 15.859999656677246
2021-06-03, 15.579999923706055
2021-06-04, 14.670000076293945
2021-06-07, 13.489999771118164
2021-06-08, 13.15999984741211
2021-06-09, 13.300000190734863
2021-06-10, 13.600000381469727
2021-06-11, 13.4399995803833
2021-06-14, 13.1899995803833
2021-06-15, 13.239999771118164
2021-06-16, 13.25
2021-06-17, 13.329999923706055
2021-06-18, 13.640000343322754
2021-06-21, 13.020000457763672
2021-06-22, 13.029999732971191
2021-06-23, 13.279999732971191
2021-06-24, 13.779999732971191
2021-06-25, 15.300000190734863
2021-06-28, 14.329999923706055
2021-06-29, 14.449999809265137
2021-06-30, 13.020000457763672
2021-07-01, 12.399999618530273
2021-07-02, 11.529999732971191
2021-07-06, 11.289999961853027
2021-07-07, 11.229999542236328
2021-07-08, 11.149999618530273
2021-07-09, 11.619999885559082
2021-07-12, 11.449999809265137
2021-07-13, 11.100000381469727
2021-07-14, 10.649999618530273
2021-07-15, 10.6899995803833
2021-07-16, 10.850000381469727
2021-07-19, 10.729999542236328
2021-07-20, 11.239999771118164
2021-07-21, 11.609999656677246
2021-07-22, 11.039999961853027
2021-07-23, 10.75
2021-07-26, 11.109999656677246
2021-07-27, 10.729999542236328
2021-07-28, 10.84000015258789
2021-07-29, 10.899999618530273
2021-07-30, 10.630000114440918
2021-08-02, 10.5
2021-08-03, 10.970000267028809
2021-08-04, 11.5600004196167
