2020-11-25, 6.099999904632568
2020-11-27, 5.550000190734863
2020-11-30, 6.090000152587891
2020-12-01, 5.920000076293945
2020-12-02, 5.650000095367432
2020-12-03, 5.519999980926514
2020-12-04, 5.460000038146973
2020-12-07, 5.5
2020-12-08, 5.449999809265137
2020-12-09, 5.389999866485596
2020-12-10, 5.119999885559082
2020-12-11, 5.070000171661377
2020-12-14, 5.0
2020-12-15, 4.614999771118164
2020-12-16, 5.739999771118164
2020-12-17, 5.940000057220459
2020-12-18, 5.800000190734863
2020-12-21, 5.929999828338623
2020-12-22, 5.400000095367432
2020-12-23, 5.590000152587891
2020-12-24, 5.260000228881836
2020-12-28, 5.690000057220459
2020-12-29, 5.449999809265137
2020-12-30, 5.559999942779541
2020-12-31, 5.980000019073486
2021-01-04, 5.889999866485596
2021-01-05, 6.0
2021-01-06, 6.090000152587891
2021-01-07, 6.150000095367432
2021-01-08, 5.869999885559082
2021-01-11, 6.099999904632568
2021-01-12, 6.199999809265137
2021-01-13, 6.75
2021-01-14, 6.329999923706055
2021-01-15, 6.699999809265137
2021-01-19, 6.360000133514404
2021-01-20, 6.519999980926514
2021-01-21, 6.389999866485596
2021-01-22, 5.880000114440918
2021-01-25, 5.900000095367432
2021-01-26, 5.765999794006348
2021-01-27, 6.090000152587891
2021-01-28, 6.03000020980835
2021-01-29, 6.309999942779541
2021-02-01, 6.400000095367432
2021-02-02, 6.0
2021-02-03, 6.010000228881836
2021-02-04, 6.150000095367432
2021-02-05, 6.050000190734863
2021-02-08, 10.550000190734863
2021-02-09, 10.0
2021-02-10, 8.859999656677246
2021-02-11, 12.800000190734863
2021-02-12, 17.559999465942383
2021-02-16, 27.5
2021-02-17, 25.600000381469727
2021-02-18, 23.8799991607666
2021-02-19, 23.889999389648438
2021-02-22, 19.270000457763672
2021-02-23, 16.540000915527344
2021-02-24, 17.75
2021-02-25, 15.279999732971191
2021-02-26, 14.350000381469727
2021-03-01, 14.670000076293945
2021-03-02, 13.619999885559082
2021-03-03, 12.520000457763672
2021-03-04, 10.649999618530273
2021-03-05, 10.260000228881836
2021-03-08, 9.710000038146973
2021-03-09, 11.399999618530273
2021-03-10, 11.3100004196167
2021-03-11, 11.300000190734863
2021-03-12, 10.029999732971191
2021-03-15, 10.3100004196167
2021-03-16, 10.0
2021-03-17, 13.8100004196167
