2021-02-05, 5.739999771118164
2021-02-08, 5.099999904632568
2021-02-09, 5.150000095367432
2021-02-10, 6.789999961853027
2021-02-11, 7.099999904632568
2021-02-12, 7.150000095367432
2021-02-16, 7.0
2021-02-17, 6.949999809265137
2021-02-18, 6.989999771118164
2021-02-19, 6.960000038146973
2021-02-22, 7.039999961853027
2021-02-23, 6.699999809265137
2021-02-24, 6.400000095367432
2021-02-25, 5.809999942779541
2021-02-26, 5.260000228881836
2021-03-01, 5.110000133514404
2021-03-02, 4.909999847412109
2021-03-03, 4.840000152587891
2021-03-04, 4.309999942779541
2021-03-05, 4.309999942779541
2021-03-08, 4.289999961853027
2021-03-09, 4.489999771118164
2021-03-10, 4.900000095367432
2021-03-11, 5.599999904632568
2021-03-12, 5.300000190734863
2021-03-15, 5.440000057220459
2021-03-16, 5.699999809265137
2021-03-17, 5.78000020980835
2021-03-18, 5.590000152587891
2021-03-19, 5.699999809265137
2021-03-22, 5.239999771118164
2021-03-23, 5.0
2021-03-24, 4.699999809265137
2021-03-25, 4.889999866485596
2021-03-26, 4.730000019073486
2021-03-29, 4.760000228881836
2021-03-30, 4.550000190734863
2021-03-31, 4.900000095367432
2021-04-01, 4.800000190734863
2021-04-05, 4.550000190734863
2021-04-06, 4.809999942779541
2021-04-07, 4.670000076293945
2021-04-08, 4.820000171661377
2021-04-09, 4.639999866485596
2021-04-12, 4.579999923706055
2021-04-13, 4.570000171661377
2021-04-14, 4.679999828338623
2021-04-15, 4.630000114440918
2021-04-16, 4.53000020980835
2021-04-19, 4.539999961853027
2021-04-20, 4.389999866485596
2021-04-21, 4.449999809265137
2021-04-22, 4.429999828338623
2021-04-23, 4.679999828338623
2021-04-26, 4.53000020980835
2021-04-27, 4.630000114440918
2021-04-28, 4.539000034332275
2021-04-29, 4.46999979019165
2021-04-30, 4.46999979019165
2021-05-03, 4.449999809265137
2021-05-04, 4.599999904632568
2021-05-05, 4.360000133514404
2021-05-06, 4.441999912261963
2021-05-07, 4.3429999351501465
2021-05-10, 4.320000171661377
2021-05-11, 4.260000228881836
2021-05-12, 4.229000091552734
2021-05-13, 4.199999809265137
2021-05-14, 4.210000038146973
2021-05-17, 4.150000095367432
2021-05-18, 4.179999828338623
2021-05-19, 4.290999889373779
2021-05-20, 4.199999809265137
2021-05-21, 4.289999961853027
2021-05-24, 4.679999828338623
2021-05-25, 4.570000171661377
2021-05-26, 4.995999813079834
2021-05-27, 4.769999980926514
2021-05-28, 4.849999904632568
2021-06-01, 4.800000190734863
2021-06-02, 4.46999979019165
2021-06-03, 4.47599983215332
2021-06-04, 4.590000152587891
2021-06-07, 4.699999809265137
2021-06-08, 4.510000228881836
2021-06-09, 5.0
2021-06-10, 4.828999996185303
2021-06-11, 4.980000019073486
2021-06-14, 5.369999885559082
2021-06-15, 5.639999866485596
2021-06-16, 5.849999904632568
2021-06-17, 5.619999885559082
2021-06-18, 5.659999847412109
2021-06-21, 5.440000057220459
2021-06-22, 5.671000003814697
2021-06-23, 5.480000019073486
2021-06-24, 5.71999979019165
2021-06-25, 5.880000114440918
2021-06-28, 5.909999847412109
2021-06-29, 5.840000152587891
2021-06-30, 6.28000020980835
2021-07-01, 6.199999809265137
2021-07-02, 6.489999771118164
2021-07-06, 6.260000228881836
2021-07-07, 6.13100004196167
2021-07-08, 5.874000072479248
